Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,7.580000,7.900000,7.580000,7.900000,7.617352,8200
2012-01-04,7.900000,7.900000,7.900000,7.900000,7.617352,0
2012-01-05,7.900000,7.900000,7.900000,7.900000,7.617352,0
2012-01-06,7.870000,9.890000,7.870000,8.370000,8.070537,1800
2012-01-09,8.400000,8.650000,8.400000,8.650000,8.340519,600
2012-01-10,8.700000,8.860000,8.640000,8.640000,8.330877,4500
2012-01-11,8.880000,8.880000,8.700000,8.700000,8.388730,2300
2012-01-12,8.790000,9.180000,8.790000,9.180000,8.851557,2000
2012-01-13,9.180000,9.180000,9.180000,9.180000,8.851557,0
2012-01-17,9.050000,9.050000,8.580000,8.800000,8.485152,2200
2012-01-18,8.030000,8.950000,8.030000,8.350000,8.051252,900
2012-01-19,8.410000,8.600000,7.990000,8.500000,8.195886,3200
2012-01-20,8.500000,8.640000,8.500000,8.510000,8.205528,2100
2012-01-23,8.510000,8.510000,8.510000,8.510000,8.205528,0
2012-01-24,8.760000,8.760000,8.760000,8.760000,8.446584,1000
2012-01-25,8.040000,8.880000,8.010000,8.880000,8.562290,1500
2012-01-26,8.880000,8.880000,8.880000,8.880000,8.562290,0
2012-01-27,8.790000,9.960000,8.740000,9.960000,9.603649,1800
2012-01-30,9.860000,9.860000,8.810000,8.930000,8.610501,8000
2012-01-31,8.930000,9.100000,8.930000,9.100000,8.774419,300
2012-02-01,9.040000,9.260000,9.000000,9.010000,8.687639,4000
2012-02-02,9.030000,9.030000,9.030000,9.030000,8.706923,200
2012-02-03,9.100000,9.260000,9.100000,9.260000,8.928695,300
2012-02-06,9.150000,9.210000,9.150000,9.210000,8.880483,400
2012-02-07,8.500000,9.500000,8.470000,8.860000,8.543005,12200
2012-02-08,9.310000,9.310000,8.800000,8.810000,8.494795,3800
2012-02-09,8.860000,9.160000,7.590000,9.130000,8.803346,8200
2012-02-10,9.100000,9.100000,8.710000,8.730000,8.417656,900
2012-02-13,8.790000,9.590000,8.790000,9.590000,9.246887,300
2012-02-14,9.590000,9.590000,9.590000,9.590000,9.246887,0
2012-02-15,9.590000,9.590000,9.590000,9.590000,9.246887,0
2012-02-16,9.780000,9.780000,8.520000,8.720000,8.408014,400
2012-02-17,8.860000,9.040000,8.860000,9.040000,8.716565,500
2012-02-21,9.250000,9.300000,9.200000,9.200000,8.870841,1000
2012-02-22,9.200000,9.200000,9.200000,9.200000,8.870841,0
2012-02-23,9.100000,9.180000,9.100000,9.180000,8.851557,300
2012-02-24,8.910000,8.910000,8.850000,8.850000,8.533363,400
2012-02-27,8.830000,8.910000,8.830000,8.910000,8.591216,1100
2012-02-28,9.090000,9.090000,9.090000,9.090000,8.764776,100
2012-02-29,8.870000,8.870000,8.700000,8.800000,8.485152,800
2012-03-01,9.080000,9.180000,9.080000,9.180000,8.851557,400
2012-03-02,9.160000,9.250000,9.160000,9.250000,8.919052,47000
2012-03-05,9.120000,9.120000,8.800000,8.810000,8.494795,3400
2012-03-06,8.810000,8.810000,8.810000,8.810000,8.494795,0
